!CSV A.01.01,,,
!Keysight Technologies,N5224A,MY56042115,A.10.47.06
!Date: Monday, November 02, 2020 14:25:15,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S21 Log Mag(dB),,
3000000000,-1.8350374,,
3020000000,-1.8164483,,
3040000000,-1.7117094,,
3060000000,-1.4745526,,
3080000000,-1.1689172,,
3100000000,-0.8417303,,
3120000000,-0.52528399,,
3140000000,-0.24095929,,
3160000000,-0.002767329,,
3180000000,0.18024378,,
3200000000,0.30265322,,
3220000000,0.36135995,,
3240000000,0.35497177,,
3260000000,0.28311908,,
3280000000,0.14563954,,
3300000000,-0.058309156,,
3320000000,-0.3312459,,
3340000000,-0.67834008,,
3360000000,-1.1076736,,
3380000000,-1.6300905,,
3400000000,-2.258106,,
3420000000,-3.0037625,,
3440000000,-3.8738708,,
3460000000,-4.8600559,,
3480000000,-5.9195242,,
3500000000,-6.9449062,,
3520000000,-7.7473354,,
3540000000,-8.1116486,,
3560000000,-7.9239793,,
3580000000,-7.2536545,,
3600000000,-6.3025465,,
3620000000,-5.2759252,,
3640000000,-4.3032165,,
3660000000,-3.4423268,,
3680000000,-2.7102742,,
3700000000,-2.1054273,,
3720000000,-1.618717,,
3740000000,-1.23874,,
3760000000,-0.95364851,,
3780000000,-0.75201923,,
3800000000,-0.62306535,,
3820000000,-0.5565846,,
3840000000,-0.54282278,,
3860000000,-0.57224756,,
3880000000,-0.63538623,,
3900000000,-0.72261596,,
3920000000,-0.82412839,,
3940000000,-0.92989802,,
3960000000,-1.0300062,,
3980000000,-1.1150723,,
4000000000,-1.1770518,,
4020000000,-1.2099233,,
4040000000,-1.2103806,,
4060000000,-1.1781582,,
4080000000,-1.1160061,,
4100000000,-1.0292677,,
4120000000,-0.92508471,,
4140000000,-0.81158954,,
4160000000,-0.69699979,,
4180000000,-0.58900815,,
4200000000,-0.4943074,,
4220000000,-0.4183473,,
4240000000,-0.36521953,,
4260000000,-0.33758956,,
4280000000,-0.33670539,,
4300000000,-0.36231813,,
4320000000,-0.41270995,,
4340000000,-0.48464265,,
4360000000,-0.57342529,,
4380000000,-0.67293692,,
4400000000,-0.77586335,,
4420000000,-0.87409657,,
4440000000,-0.95936668,,
4460000000,-1.024039,,
4480000000,-1.0620478,,
4500000000,-1.0697459,,
4520000000,-1.0465196,,
4540000000,-0.99501348,,
4560000000,-0.92087889,,
